number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_bootstrap_type,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,params_od_type,params_subsample,state
0,0.69906,2022-02-17 21:21:24.586736,2022-02-17 21:22:58.462481,0 days 00:01:33.875745,8.760567021073527,Bayesian,2,7,4.433504616170433,0.011446119955434592,Iter,,COMPLETE
1,0.70118,2022-02-17 21:22:58.576932,2022-02-17 21:27:22.997140,0 days 00:04:24.420208,8.827585494454805,Bayesian,3,6,6.866283058204149,0.02256816730462244,Iter,,COMPLETE
2,0.7106399999999999,2022-02-17 21:27:23.112682,2022-02-17 21:42:17.131287,0 days 00:14:54.018605,,Bernoulli,3,7,0.8462742922654678,0.016433969336784184,IncToDec,0.9136197305252138,COMPLETE
3,0.70936,2022-02-17 21:42:17.247210,2022-02-17 23:00:58.417898,0 days 01:18:41.170688,,MVS,7,5,8.041261656593575,0.009629973602191285,IncToDec,,COMPLETE
4,0.7046199999999999,2022-02-17 23:00:58.525991,2022-02-17 23:20:49.584144,0 days 00:19:51.058153,,Bernoulli,8,1,1.9244421297567553,0.024707142689527933,Iter,0.865933689124183,COMPLETE
5,0.70942,2022-02-17 23:20:49.691771,2022-02-17 23:27:40.900377,0 days 00:06:51.208606,,MVS,5,2,6.111217691562997,0.07685448899989192,Iter,,COMPLETE
6,0.69768,2022-02-17 23:27:41.009399,2022-02-18 00:05:49.634035,0 days 00:38:08.624636,9.820227367804325,Bayesian,8,8,2.923984504242647,0.01571724696526144,Iter,,COMPLETE
7,0.7004199999999999,2022-02-18 00:05:49.741837,2022-02-18 00:07:01.272521,0 days 00:01:11.530684,5.363158108690842,Bayesian,1,2,7.411378255819133,0.009935511573060829,IncToDec,,COMPLETE
8,0.70926,2022-02-18 00:07:01.382047,2022-02-18 00:09:28.092958,0 days 00:02:26.710911,,Bernoulli,1,4,4.42524240453854,0.04144708706345864,Iter,0.9662013984867076,COMPLETE
9,0.7092799999999999,2022-02-18 00:09:28.203650,2022-02-18 00:29:36.054741,0 days 00:20:07.851091,,MVS,6,5,1.6104704692776033,0.02108296580037806,Iter,,COMPLETE
10,0.7102,2022-02-18 00:29:36.163626,2022-02-18 00:56:50.621870,0 days 00:27:14.458244,,Bernoulli,4,10,0.1555497199209518,0.005266590806393746,IncToDec,0.9290012537655572,COMPLETE
11,0.71044,2022-02-18 00:56:50.732790,2022-02-18 01:25:19.340587,0 days 00:28:28.607797,,Bernoulli,4,10,0.1864195641232166,0.005396784976931374,IncToDec,0.9211662209962856,COMPLETE
12,0.71028,2022-02-18 01:25:19.453938,2022-02-18 01:52:13.147561,0 days 00:26:53.693623,,Bernoulli,4,10,9.814055338433082,0.005048107526055378,IncToDec,0.9005372435277218,COMPLETE
13,0.71072,2022-02-18 01:52:13.259464,2022-02-18 02:07:51.445659,0 days 00:15:38.186195,,Bernoulli,3,8,0.16943015790984597,0.03882364908050172,IncToDec,0.8131105834603181,COMPLETE
14,0.71038,2022-02-18 02:07:51.559002,2022-02-18 02:23:20.204193,0 days 00:15:28.645191,,Bernoulli,3,8,2.8432369717101786,0.042909624165272206,IncToDec,0.8009118269823232,COMPLETE
15,0.7104,2022-02-18 02:23:20.314494,2022-02-18 02:33:10.876264,0 days 00:09:50.561770,,Bernoulli,2,8,1.3920563232598908,0.038041230010170006,IncToDec,0.8374301298938445,COMPLETE
16,0.70998,2022-02-18 02:33:10.987709,2022-02-18 02:47:23.172333,0 days 00:14:12.184624,,Bernoulli,3,7,2.822723583464123,0.07525551695322075,IncToDec,0.8643072332948908,COMPLETE
17,0.70972,2022-02-18 02:47:23.282561,2022-02-18 03:35:46.173834,0 days 00:48:22.891273,,Bernoulli,5,9,0.10013668362524253,0.031091302341234237,IncToDec,0.9878980186931049,COMPLETE
18,0.71026,2022-02-18 03:35:46.284619,2022-02-18 03:43:07.906873,0 days 00:07:21.622254,,Bernoulli,2,6,1.2604607472936975,0.06282119297157794,IncToDec,0.8026357146349095,COMPLETE
19,0.7100199999999999,2022-02-18 03:43:08.018179,2022-02-18 04:11:07.577554,0 days 00:27:59.559375,,MVS,6,4,3.8066320661614452,0.012930431428820714,IncToDec,,COMPLETE
20,0.7105,2022-02-18 04:11:07.687676,2022-02-18 04:25:37.011219,0 days 00:14:29.323543,,Bernoulli,3,7,5.706351026144864,0.05616009160947335,IncToDec,0.95381442774619,COMPLETE
21,0.71046,2022-02-18 04:25:37.122217,2022-02-18 04:40:04.604204,0 days 00:14:27.481987,,Bernoulli,3,7,5.417172845103618,0.05496468078429231,IncToDec,0.943074864169171,COMPLETE
22,0.7104199999999999,2022-02-18 04:40:04.714797,2022-02-18 04:51:37.188390,0 days 00:11:32.473593,,Bernoulli,2,9,5.36423703477491,0.054914769887856874,IncToDec,0.8978406842767268,COMPLETE
23,0.7101799999999999,2022-02-18 04:51:37.300843,2022-02-18 05:06:19.605106,0 days 00:14:42.304263,,Bernoulli,3,7,8.807018583647864,0.09454396350219535,IncToDec,0.961279510459229,COMPLETE
24,0.71056,2022-02-18 05:06:19.717696,2022-02-18 05:31:23.760812,0 days 00:25:04.043116,,Bernoulli,4,9,6.336324774580396,0.017192167157619,IncToDec,0.906547285162616,COMPLETE
25,0.7092799999999999,2022-02-18 05:31:23.873060,2022-02-18 06:18:59.771186,0 days 00:47:35.898126,,Bernoulli,5,9,0.7422201546536649,0.016045545337459798,IncToDec,0.8977702101490405,COMPLETE
26,0.7104599999999999,2022-02-18 06:18:59.882925,2022-02-18 06:43:46.804263,0 days 00:24:46.921338,,Bernoulli,4,9,6.659351246580762,0.017881382450271797,IncToDec,0.8669382617905289,COMPLETE
27,0.7097,2022-02-18 06:43:46.922407,2022-02-18 07:42:22.956170,0 days 00:58:36.033763,,Bernoulli,6,8,2.269816643068756,0.007237845730939709,IncToDec,0.8352996032929437,COMPLETE
28,0.71064,2022-02-18 07:42:23.066576,2022-02-18 07:59:25.418916,0 days 00:17:02.352340,0.6138468994861457,Bayesian,4,6,3.5526532869523315,0.03336925168078998,IncToDec,,COMPLETE
29,0.7096,2022-02-18 07:59:25.532859,2022-02-18 08:02:59.208774,0 days 00:03:33.675915,0.0786431520684111,Bayesian,1,6,3.768735032588821,0.030759862899955356,IncToDec,,COMPLETE
30,0.71032,2022-02-18 08:02:59.320092,2022-02-18 08:07:48.601169,0 days 00:04:49.281077,0.17177430392458337,Bayesian,2,4,0.9086705887448064,0.028783247545532624,IncToDec,,COMPLETE
31,0.70984,2022-02-18 08:07:48.726536,2022-02-18 08:31:37.022763,0 days 00:23:48.296227,3.063084125572045,Bayesian,4,8,4.625851403918034,0.012548690852680238,IncToDec,,COMPLETE
32,0.7078,2022-02-18 08:31:37.135495,2022-02-18 09:03:05.148111,0 days 00:31:28.012616,3.4316392141975167,Bayesian,5,6,3.609801477501568,0.02100472069876129,IncToDec,,COMPLETE
33,0.70674,2022-02-18 09:03:05.261506,2022-02-18 09:19:06.519302,0 days 00:16:01.257796,5.493289320300284,Bayesian,4,5,2.3805471036952004,0.025465540791517784,IncToDec,,COMPLETE
34,0.7106,2022-02-18 09:19:06.634746,2022-02-18 09:26:29.298963,0 days 00:07:22.664217,,MVS,3,7,7.33596735129215,0.036299298179375314,Iter,,COMPLETE
35,0.71086,2022-02-18 09:26:29.412436,2022-02-18 09:33:17.161262,0 days 00:06:47.748826,,MVS,3,7,7.7354279654508815,0.037704155259869164,Iter,,COMPLETE
36,0.71032,2022-02-18 09:33:17.274760,2022-02-18 09:37:24.671966,0 days 00:04:07.397206,,MVS,2,5,9.062910481740603,0.04640218284365574,Iter,,COMPLETE
37,0.71078,2022-02-18 09:37:24.788889,2022-02-18 09:44:50.145020,0 days 00:07:25.356131,,MVS,3,6,0.7451754628341849,0.03528513467497183,Iter,,COMPLETE
38,0.70898,2022-02-18 09:44:50.259105,2022-02-18 09:51:17.237086,0 days 00:06:26.977981,,MVS,3,6,0.7685700759892035,0.0342672393843095,Iter,,COMPLETE
39,0.7104600000000001,2022-02-18 09:51:17.351034,2022-02-18 09:54:49.494881,0 days 00:03:32.143847,,MVS,2,3,1.8625638775684252,0.047932453807777824,Iter,,COMPLETE
40,0.7102999999999999,2022-02-18 09:54:49.610599,2022-02-18 10:03:06.812474,0 days 00:08:17.201875,,MVS,3,6,8.338152098491271,0.026053278801914322,Iter,,COMPLETE
41,0.7094999999999999,2022-02-18 10:03:06.930634,2022-02-18 10:12:47.097080,0 days 00:09:40.166446,,MVS,3,7,0.7531095200915664,0.02266387181668355,Iter,,COMPLETE
42,0.71052,2022-02-18 10:12:47.216745,2022-02-18 10:22:21.714479,0 days 00:09:34.497734,,MVS,4,6,1.1915606847532807,0.03595915405609764,Iter,,COMPLETE
43,0.70896,2022-02-18 10:22:21.836082,2022-02-18 10:27:03.995072,0 days 00:04:42.158990,2.162945070867759,Bayesian,1,8,2.2933464222565707,0.027258519567140815,Iter,,COMPLETE
44,0.708,2022-02-18 10:27:04.115381,2022-02-18 10:33:42.882227,0 days 00:06:38.766846,,MVS,4,7,0.6224780733881647,0.019725220100570425,Iter,,COMPLETE
45,0.7106800000000001,2022-02-18 10:33:42.998025,2022-02-18 10:40:16.696171,0 days 00:06:33.698146,,MVS,3,5,3.2509053178484058,0.042240049744196456,Iter,,COMPLETE
46,0.71082,2022-02-18 10:40:16.810665,2022-02-18 10:45:00.581439,0 days 00:04:43.770774,,MVS,2,5,4.7331963936872015,0.04137976497810779,Iter,,COMPLETE
47,0.7102600000000001,2022-02-18 10:45:00.700348,2022-02-18 10:48:38.438486,0 days 00:03:37.738138,,MVS,2,3,4.1074353711336675,0.04039731907753972,Iter,,COMPLETE
48,0.7104,2022-02-18 10:48:38.552534,2022-02-18 10:51:40.159575,0 days 00:03:01.607041,,MVS,2,4,4.805373532101889,0.07039330682893917,Iter,,COMPLETE
49,0.70986,2022-02-18 10:51:40.273363,2022-02-18 10:54:05.645812,0 days 00:02:25.372449,,MVS,1,5,3.1366213240174114,0.04700959167969458,Iter,,COMPLETE
